,North Carolina State University,UNC Chapel Hill,University of Notre Dame,Penn State,Purdue,Duke,Umass Amherst,Syracuse University,UMD,University of Michigan,University of Texas Austin
2020-03-08,,,,,,,,,,0.19399999999999998,
2020-03-09,,,,,,,,,,0.21185714285714283,
2020-03-10,,,,,,,,,,0.2297142857142857,
2020-03-11,,,,,,,,,,0.24757142857142855,
2020-03-12,,,,,,,,,,0.2654285714285714,
2020-03-13,,,,,,,,,,0.28328571428571425,
2020-03-14,,,,,,,,,,0.30114285714285716,
2020-03-15,,,,,,,,,,0.319,
2020-03-16,,,,,,,,,,0.35085714285714287,
2020-03-17,,,,,,,,,,0.38271428571428573,
2020-03-18,,,,,,,,,,0.4145714285714286,
2020-03-19,,,,,,,,,,0.44642857142857145,
2020-03-20,,,,,,,,,,0.4782857142857143,
2020-03-21,,,,,,,,,,0.5101428571428572,
2020-03-22,,,,,,,,,,0.542,
2020-03-23,,,,,,,,,,0.565857142857143,
2020-03-24,,,,,,,,,,0.5897142857142857,
2020-03-25,,,,,,,,,,0.6135714285714287,
2020-03-26,,,,,,,,,,0.6374285714285715,
2020-03-27,,,,,,,,,,0.6612857142857144,
2020-03-28,,,,,,,,,,0.6851428571428573,
2020-03-29,,,,,,,,,,0.7090000000000001,
2020-03-30,,,,,,,,,,0.7211428571428572,
2020-03-31,,,,,,,,,,0.7332857142857143,
2020-04-01,,,,,,,,,,0.7454285714285714,
2020-04-02,,,,,,,,,,0.7575714285714287,
2020-04-03,,,,,,,,,,0.7697142857142858,
2020-04-04,,,,,,,,,,0.7818571428571429,
2020-04-05,,,,,,,,,,0.794,
2020-04-06,,,,,,,,,,0.8007142857142857,
2020-04-07,,,,,,,,,,0.8074285714285715,
2020-04-08,,,,,,,,,,0.8141428571428572,
2020-04-09,,,,,,,,,,0.8208571428571428,
2020-04-10,,,,,,,,,,0.8275714285714285,
2020-04-11,,,,,,,,,,0.8342857142857143,
2020-04-12,,,,,,,,,,0.841,
2020-04-13,,,,,,,,,,0.8467142857142856,
2020-04-14,,,,,,,,,,0.8524285714285714,
2020-04-15,,,,,,,,,,0.8581428571428571,
2020-04-16,,,,,,,,,,0.8638571428571428,
2020-04-17,,,,,,,,,,0.8695714285714284,
2020-04-18,,,,,,,,,,0.8752857142857142,
2020-04-19,,,,,,,,,,0.8809999999999999,
2020-04-20,,,,,,,,,,0.882142857142857,
2020-04-21,,,,,,,,,,0.8832857142857142,
2020-04-22,,,,,,,,,,0.8844285714285713,
